nmi,quality_method,meter_number,date,unit_of_measure,tariff_description,00:00-00:30,00:30-01:00,01:00-01:30,01:30-02:00,02:00-02:30,02:30-03:00,03:00-03:30,03:30-04:00,04:00-04:30,04:30-05:00,05:00-05:30,05:30-06:00,06:00-06:30,06:30-07:00,07:00-07:30,07:30-08:00,08:00-08:30,08:30-09:00,09:00-09:30,09:30-10:00,10:00-10:30,10:30-11:00,11:00-11:30,11:30-12:00,12:00-12:30,12:30-13:00,13:00-13:30,13:30-14:00,14:00-14:30,14:30-15:00,15:00-15:30,15:30-16:00,16:00-16:30,16:30-17:00,17:00-17:30,17:30-18:00,18:00-18:30,18:30-19:00,19:00-19:30,19:30-20:00,20:00-20:30,20:30-21:00,21:00-21:30,21:30-22:00,22:00-22:30,22:30-23:00,23:00-23:30,23:30-00:00
6203808917,Actual,DZ114328,10/07/2025,kWh,consumption,1.588,1.488,1.475,0.750,0.438,0.463,0.438,0.425,0.438,0.450,0.425,0.388,3.163,2.688,0.713,0.363,0.188,0.063,0.013,0.000,0.013,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.000,0.013,0.125,0.163,0.013,0.000,0.013,0.013,0.725,0.475,0.288,0.538,0.275,0.263
6203808917,Actual,DZ114328,10/07/2025,kWh,generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.038,0.025,0.013,0.163,1.525,2.113,1.438,2.225,0.638,0.438,0.400,0.600,0.463,0.113,0.013,0.000,0.013,0.000,0.000,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6203808917,Actual,DZ114328,11/07/2025,kWh,consumption,0.250,0.250,0.263,0.275,0.250,0.263,0.263,0.263,0.250,0.913,1.213,1.238,3.075,0.763,0.250,0.238,0.100,0.013,0.000,0.013,0.013,0.000,0.013,0.013,0.400,0.263,0.013,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.013,0.000,0.013,0.000,0.038,0.250,2.838,2.663,2.413,2.800,2.113,1.763
6203808917,Actual,DZ114328,11/07/2025,kWh,generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.013,0.025,0.000,0.050,0.325,0.038,0.000,0.050,0.013,0.263,0.200,0.988,0.550,0.088,0.000,0.013,0.000,0.000,0.013,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6203808917,Actual,DZ114328,12/07/2025,kWh,consumption,1.563,1.575,1.588,1.575,0.600,0.613,0.588,0.600,1.613,2.525,2.475,2.488,3.800,3.288,3.250,3.213,3.075,2.950,1.088,0.350,0.025,0.025,0.025,0.150,0.000,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.013,0.000,0.013,0.000,0.013,0.000,0.013,0.013,1.388,1.588,1.688,3.300,3.200,2.225
6203808917,Actual,DZ114328,12/07/2025,kWh,generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.013,0.025,0.025,0.013,0.013,0.000,0.075,1.225,1.250,0.425,0.263,0.013,0.000,0.013,0.013,0.013,0.000,0.013,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6203808917,Actual,DZ114328,13/07/2025,kWh,consumption,2.063,1.775,1.888,1.638,0.663,0.663,0.650,0.663,0.638,0.638,0.625,0.638,2.575,3.363,3.525,3.338,3.875,3.050,2.438,2.588,2.650,2.600,2.675,3.125,0.613,0.675,0.038,0.538,0.350,0.188,0.000,0.013,0.000,0.000,0.013,0.000,0.013,0.000,0.013,0.000,0.013,0.013,2.350,2.788,2.300,2.425,1.525,1.288
6203808917,Actual,DZ114328,13/07/2025,kWh,generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.738,0.050,0.000,0.000,0.013,0.000,0.013,0.000,0.000,0.013,0.000,0.013,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6203808917,Actual,DZ114328,14/07/2025,kWh,consumption,1.275,1.288,1.275,1.275,0.325,0.325,0.313,0.313,0.325,0.313,0.525,2.600,3.938,2.763,2.163,2.125,1.950,0.600,0.175,0.013,0.038,0.013,0.000,0.025,0.688,0.638,0.213,0.100,0.263,0.400,0.000,0.013,0.013,0.000,0.013,0.550,1.650,1.625,1.250,1.688,1.500,1.763,1.863,2.100,2.075,1.900,1.975,1.950
6203808917,Actual,DZ114328,14/07/2025,kWh,generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.038,0.088,0.238,0.588,0.475,0.063,0.013,0.000,0.000,0.013,0.000,0.013,0.013,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
